x1	w1	x2	w2	x3	w3	x4	w4	x5	w5	x6	w6
40.79564509	0.333023459	40.38064592	0.336150268	39.96562227	0.339094559	39.55057314	0.341857065	39.13549753	0.344438545	38.7203944	0.346839783
41.30194686	0.342555788	40.88196735	0.345874724	40.46196279	0.34900295	40.04193214	0.351941243	39.62187437	0.354690405	39.20178845	0.357251266
41.80845726	0.352217095	41.38349923	0.355735751	40.95851554	0.35905525	40.53350514	0.362176414	40.10846699	0.365100093	39.68340004	0.36782716
42.31517619	0.362006836	41.88524142	0.365732955	41.45528038	0.369251211	41.02529201	0.372562474	40.59527524	0.375667641	40.16522901	0.378567634
42.82210354	0.371924458	42.38719381	0.375865934	41.9522572	0.379590579	41.51729262	0.383099311	41.08229899	0.386393077	40.64727522	0.389472849
43.32923921	0.381969405	42.8893563	0.386134282	42.44944588	0.390073094	42.00950685	0.393786807	41.5695381	0.397276421	41.12953854	0.400542961
43.8365831	0.392141111	43.39172878	0.396537586	42.9468463	0.400698488	42.50193457	0.404624838	42.05699244	0.408317689	41.61201881	0.411778118
44.34413509	0.402439005	43.89431112	0.407075424	43.44445834	0.411466488	42.99457564	0.415613275	42.54466187	0.419516888	42.09471589	0.423178465
44.8518951	0.41286251	44.39710322	0.41774737	43.94228189	0.422376817	43.48742995	0.42675198	43.03254625	0.430874023	42.57762963	0.434744139
45.35986301	0.42341104	44.90010497	0.428552993	44.44031681	0.433429187	43.98049736	0.438040812	43.52064545	0.442389089	43.0607599	0.446475272
45.86803872	0.434084006	45.40331626	0.439491851	44.938563	0.444623307	44.47377775	0.449479621	44.00895933	0.454062077	43.54410654	0.45837199
46.37642213	0.444880808	45.90673698	0.4505635	45.43702034	0.455958878	44.96727099	0.461068253	44.49748776	0.465892972	44.02766941	0.470434412
46.88501315	0.455800845	46.41036703	0.461767487	45.9356887	0.467435596	45.46097697	0.472806548	44.9862306	0.477881752	44.51144838	0.482662653
47.39381166	0.466843504	46.91420628	0.473103353	46.43456798	0.47905315	45.95489554	0.484694337	45.47518772	0.490028389	44.99544329	0.49505682
47.90281758	0.478008168	47.41825464	0.484570634	46.93365806	0.490811224	46.44902659	0.496731447	45.96435898	0.50233285	45.479654	0.507617016
48.4120308	0.489294214	47.92251201	0.496168857	47.43295882	0.502709492	46.94336999	0.508917699	46.45374426	0.514795095	45.96408036	0.520343337
48.92145123	0.500701012	48.42697826	0.507897544	47.93247015	0.514747625	47.43792562	0.521252906	46.94334341	0.527415079	46.44872224	0.533235872
49.43107876	0.512227923	48.9316533	0.519756211	48.43219192	0.526925287	47.93269335	0.533736877	47.4331563	0.540192748	46.93357949	0.546294706
49.94091331	0.523874306	49.43653703	0.531744367	48.93212404	0.539242136	48.42767306	0.546369414	47.92318281	0.553128046	47.41865196	0.559519917
50.45095477	0.535639508	49.94162933	0.543861515	49.43226638	0.551697821	48.92286463	0.559150311	48.41342279	0.566220907	47.90393952	0.572911577
50.96120305	0.547522874	50.4469301	0.556107149	49.93261883	0.564291989	49.41826794	0.572079357	48.90387611	0.579471262	48.38944202	0.586469752
51.47165806	0.559523739	50.95243924	0.568480759	50.43318128	0.577024276	49.91388286	0.585156337	49.39454265	0.592879033	48.87515932	0.600194503
51.98231969	0.571641435	51.45815665	0.580981829	50.93395362	0.589894315	50.40970926	0.598381025	49.88542226	0.606444139	49.36109128	0.614085883
52.49318786	0.583875283	51.96408223	0.593609835	51.43493573	0.602901732	50.90574704	0.611753194	50.37651483	0.620166491	49.84723775	0.62814394
53.00426248	0.596224601	52.47021586	0.606364247	51.9361275	0.616046144	51.40199607	0.625272606	50.86782021	0.634045994	50.33359859	0.642368717
53.51554345	0.608688698	52.97655746	0.619244528	52.43752883	0.629327166	51.89845622	0.638939021	51.35933828	0.648082547	50.82017366	0.65676025
